Kantons-Nummer,Kanton,commune_id,Gemeinde,Stimmberechtigte,Ja in Prozent,Residents,Change in %,Population density per km²,Foreign nationals in %,0-19 years,20-64 years,65 years or over,Crude marriage rate,Crude divorce rate,Crude birth rate,Crude mortality rate,Private households,Size of households in persons,Total surface area in km2,Settlement and urban area in %,Change in ha,Agricultural area in %,Change in ha.1,Wooded area in %,Unproductive area in %,Employed total,Primary sector,Secondary sector,Tertiary sector,Business establishments total,Primary sector establishments,Secondary sector establishments,Tertiary sector establishments,Dwelling vacancy rate,New housing units per 1000 residents,Social assistance rate,FDP/PLR 2),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Small right-wing parties,stpf,snpstbetr,mean_stbetr,median_stbetr,gini_stbetr,mean_steink,median_steink,gini_steink,mean_steinka,median_steinka,gini_steinka,mean_reink,median_reink,gini_reink,mean_reinka,median_reinka,gini_reinka,lat,lon,ref622_ja_prozent
3,Luzern,1142,Roggliswil,525.0,26.5384615384615,682.0,8.253968254,109.8228663446,7.917888563,20.96774194,65.54252199,13.48973607,5.956813105,4.4676098287,8.9352196575,8.9352196575,272.0,2.44,6.23,6.2600321027,10.0,66.1316211878,-10.0,27.1268057785,0.481540931,292.0,91.0,91.0,110.0,81.0,35.0,10.0,36.0,2.2435897436,3.0257186082,1.0590015129,23.0244685118,29.7633373446,5.7360609707,32.3305254713,0.0,3.2892097874,3.1287605295,,2.4869634978,0.0,313.0,0.298,953.0,379.0,0.6570000052452087,60092.0,53700.0,0.2809999883174896,48100.0,44400.0,0.23600000143051147,67662.0,57500.0,0.29600000381469727,53077.0,48444.0,0.22599999606609344,47.211666666667,7.8855555555556,20.4545454545455
10,Fribourg / Freiburg,2261,Greng,131.0,35.4430379746835,175.0,2.9411764706,182.2916666667,11.42857143,17.14285714,65.71428571,17.14285714,5.6818181818,0.0,5.6818181818,0.0,76.0,2.3,1.01,13.8613861386,3.0,73.2673267327,-3.0,9.900990099,2.9702970297,47.0,12.0,5.0,30.0,24.0,,,18.0,2.2222222222,0.0,,18.6885245902,6.0655737705,19.0163934426,48.1967213115,1.3114754098,3.9344262295,1.9672131148,,0.8196721311,0.0,88.0,1.159,13174.0,2356.0,0.8119999766349792,182463.0,102100.0,0.550000011920929,149698.0,74867.0,0.574999988079071,192020.0,118750.0,0.5360000133514404,155291.0,82900.0,0.5559999942779541,46.916666666667,7.1,22.5806451612903
23,Valais / Wallis,6300,Zermatt,2910.0,53.7426408746846,5714.0,-0.1048951049,23.5231155572,40.12950648,17.32586629,69.4959748,13.17815891,4.5323803713,0.8716116099,9.5877277085,4.8810250153,2725.0,2.09,242.67,0.8282853258,54.0,9.428441917,-160.0,4.5617505254,85.1815222318,6647.0,34.0,595.0,6018.0,821.0,17.0,67.0,737.0,0.6847511193,7.466574058,0.2083695086,13.3694590033,51.6123301057,3.1358265968,29.599360398,0.2842675668,,,,1.9809896065,,2801.0,6.557,2341.0,397.0,0.8220000267028809,68102.0,50300.0,0.44600000977516174,54059.0,42500.0,0.4129999876022339,75265.0,54100.0,0.44600000977516174,58599.0,48000.0,0.3959999978542328,46.0193,7.7461,20.3488372093023
11,Solothurn,2556,Selzach,2427.0,45.7905544147844,3397.0,9.7576736672,174.4735490498,15.01324698,20.40035325,59.90579923,19.69384751,3.881755748,1.49298298,13.4368468199,8.360704688,1433.0,2.35,19.47,9.1936312275,24.0,50.2824858757,-27.0,38.2126348228,2.311248074,1713.0,148.0,1011.0,554.0,221.0,41.0,59.0,121.0,2.4813895782,19.6910027264,1.6661617692,18.8329312425,12.6809408926,14.2943305187,33.3232810615,0.4372738239,3.2418576598,11.0826296743,,3.7394451146,1.3268998794,1600.0,2.194,1371.0,516.0,0.7049999833106995,66701.0,57650.0,0.30399999022483826,51980.0,46618.0,0.25999999046325684,74764.0,61900.0,0.3179999887943268,57072.0,52333.0,0.24799999594688416,47.205555555556,7.4555555555556,22.5138121546961
17,St. Gallen,3217,Steinach,2261.0,38.403451995685,3568.0,8.3839611179,794.6547884187,23.68273543,19.87107623,60.76233184,19.36659193,4.2331028644,0.8466205729,10.1594468746,7.0551714407,1593.0,2.21,4.51,31.4855875831,40.0,61.1973392461,-39.0,5.5432372506,1.7738359202,1858.0,81.0,1339.0,438.0,207.0,22.0,50.0,135.0,1.3644115975,0.852514919,1.7902813299,13.5820895522,17.6585820896,13.078358209,38.0130597015,0.802238806,5.1119402985,3.6940298507,,5.2985074627,0.2705223881,1669.0,2.565,1537.0,453.0,0.7480000257492065,66677.0,56600.0,0.33000001311302185,51668.0,45200.0,0.28299999237060547,74214.0,60900.0,0.33899998664855957,56480.0,50400.0,0.2709999978542328,47.499722222222,9.4333333333333,18.4827586206897
22,Vaud,5683,Prévonloup,129.0,14.4927536231884,166.0,18.5714285714,90.2173913043,13.85542169,24.69879518,55.42168675,19.87951807,0.0,5.9171597633,0.0,5.9171597633,74.0,2.24,1.82,7.6923076923,4.0,80.2197802198,-3.0,12.0879120879,0.0,37.0,15.0,11.0,11.0,16.0,5.0,,7.0,0.0,0.0,3.488372093,28.0141843972,1.1820330969,12.6477541371,39.9527186761,0.2364066194,4.0189125296,1.4184397163,5.2009456265,6.7375886525,0.0,70.0,0.137,1950.0,434.0,0.8140000104904175,68086.0,55250.0,0.3630000054836273,49241.0,43926.0,0.26100000739097595,75654.0,60000.0,0.3619999885559082,53856.0,47433.0,0.2460000067949295,46.7,6.8833333333333,51.9230769230769
18,Graubünden / Grigioni / Grischun,3722,Domat/Ems,5099.0,52.0430107526882,8043.0,9.2798913043,332.0809248555,22.66567201,21.64615193,60.97227403,17.38157404,4.8985743892,1.3816491867,12.4348426804,6.0290146329,3366.0,2.38,24.24,14.6452145215,147.0,25.3712871287,-146.0,53.8778877888,6.1056105611,3014.0,48.0,1441.0,1525.0,378.0,17.0,72.0,289.0,0.5364806867,19.0355329949,2.1319796954,10.2905240293,20.5267445018,21.1240836275,32.9713096208,,5.8466829577,9.2044528917,,,,3228.0,4.149,1285.0,487.0,0.6959999799728394,65806.0,57200.0,0.296999990940094,50867.0,45600.0,0.2540000081062317,73760.0,61550.0,0.3089999854564667,55848.0,51400.0,0.23999999463558197,46.81981,9.45455,18.6743148502231
25,Genève,6618,Confignon,2944.0,58.2531458179127,4587.0,9.5010742421,1655.9566787004,17.74580336,25.9646828,56.24591236,17.78940484,3.2941693203,1.3176677281,5.9295047765,5.7098934885,1578.0,2.86,2.75,43.2727272727,32.0,47.2727272727,-34.0,8.3636363636,1.0909090909,979.0,21.0,71.0,887.0,245.0,6.0,31.0,208.0,0.3979533826,9.7345132743,2.5663716814,21.2163287976,15.2735351291,18.5087475701,15.2457650653,0.9997222994,2.9505692863,0.8192168842,4.6514856984,13.142182727,6.255206887,1773.0,10.462,5901.0,1239.0,0.7730000019073486,117152.0,83000.0,0.4350000023841858,78827.0,60067.0,0.37599998712539673,128513.0,95100.0,0.4269999861717224,85327.0,66905.0,0.3569999933242798,46.183354,6.083323,63.4057971014493
17,St. Gallen,3372,Hemberg,652.0,30.0518134715026,914.0,-2.9723991507,45.2699356117,6.345733042,26.03938731,57.11159737,16.84901532,2.1727322108,2.1727322108,9.7772949484,10.8636610538,344.0,2.6,20.21,4.2553191489,12.0,60.2671944582,-14.0,32.8550222662,2.6224641267,328.0,134.0,55.0,139.0,123.0,65.0,18.0,40.0,0.5607476636,1.0787486516,1.402373247,14.7698648958,15.250744218,5.7934508816,42.0196931532,2.2670025189,4.0989237463,5.3354705748,,5.9308449737,3.8012365468,336.0,0.377,1121.0,223.0,0.7879999876022339,54808.0,44950.0,0.36000001430511475,43801.0,37283.0,0.3109999895095825,61572.0,49150.0,0.36399999260902405,48274.0,42500.0,0.29600000381469727,47.3005,9.1753888888889,26.9709543568465
2,Bern / Berne,603,Biglen,1424.0,42.08,1749.0,1.4501160093,487.1866295265,7.947398513,19.55403087,60.77758719,19.66838193,4.0068689181,2.2896393818,8.0137378363,9.1585575272,781.0,2.21,3.58,21.2290502793,14.0,72.625698324,-15.0,6.1452513966,0.0,741.0,51.0,337.0,353.0,141.0,20.0,30.0,91.0,2.0156774916,5.1575931232,4.1833810888,6.44003892,1.7270737047,12.7523716857,38.0564339577,5.235952323,5.1812211141,21.1505716371,0.6446120165,4.2994405254,2.5419605935,806.0,0.989,1228.0,403.0,0.7289999723434448,62704.0,52650.0,0.3100000023841858,49074.0,43762.0,0.2529999911785126,69726.0,56450.0,0.3230000138282776,53632.0,48800.0,0.24400000274181366,46.92781,7.62667,25.4988913525499
